Map Data,,,,std::chrono,,getrusage,,,,,,perf,,,,,,,,,,,,,,,,,,,
Graph Type,Number of Items,Max Load Factor,Final Load Factor,ms to Fill,ms to Read,user time,system time,page faults without IO,context switches voulentary,context switches invoulentary,max set size,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,bus-cycles,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,branch-loads,branch-load-misses

Chained Map,100000000,2.000000,1.490116,113083,27390,145331,3643,3539056,4,733,13372612,6249139111,792478614,51001906458,225940899589,792132604,1329508135,1787118387,5417973,126332351,40284517246,5347974481,40274447015,30342569566,320945003,289975019,791879946,320040909171,4543442229,7110905633,
Open Map,100000000,0.700000,0.372529,30941,19548,42407,8183,6315636,790,1866,14771924,1937378658,294762907,21071026127,103627431969,312997712,521824462,630266447,8211980,162384217,12467315934,2260133318,12520327950,11102588349,460435730,405455891,297952234,118382804445,2229819158,3012919660,
STD Map,100000000,2.000000,-1.000000,49410,21924,71612,1643,1562634,7,582,6252912,2856529339,401380849,40090437775,123737901720,7407684,60592007,759568768,3431822,15359525,29172960055,278098672,29135349339,11687240721,99342237,96002507,401746214,222443708757,6689070460,1359831684,
STD Unordered Map,100000000,2.000000,-1.000000,3824,447,3950,1251,1171840,1,53,3920960,228363665,2416929,15810019667,62234838584,636026,1490001,2521183,2119176,11415149,11960519075,175659763,11956431855,9710358021,74495785,69307795,2310760,18321563553,348966432,338317714,

Chained Map,10000000,2.000000,1.192093,10024,1466,11470,436,442475,1,63,1674396,75464520,37171900,667184336,852207,5936168274,90939301,28126508101,13907302,26447085506,90862667,34575733,91134564,465538557,4769922099,449150642,3542764005,474303738,4668174709,139192677,
Chained Map,10000000,2.000000,1.192093,9095,1510,10447,491,442475,1,122,1674388,77867803,36039462,661233601,232851,5843630676,90648528,25492441437,10400171,25740573008,95771603,30686246,87389351,452432631,4650213469,439571937,3591453606,436239157,4816150433,140346565,
Chained Map,10000000,2.000000,1.192093,10074,1474,11409,548,442474,1,57,1674416,74885709,39219280,671923320,154790,5958586238,91587009,27675964171,14098232,26349479388,93355864,32907842,88607538,456216433,4671635116,450867777,3472019878,476350379,4689585684,139040779,
Chained Map,10000000,2.000000,1.192093,9253,1505,10665,431,442475,1,75,1674480,78752440,34893484,658020198,61463,5835564400,88569605,25670012965,11058537,26070599104,95716154,31768671,87975328,456467734,4733373879,444936012,3558786711,441620116,4789392187,142321440,
Chained Map,10000000,2.000000,1.192093,9344,1540,10773,456,442473,1,54,1674432,78180863,33223397,658203302,39293,5782479445,89978585,25767543796,10664912,26083166268,94524916,33066148,89033949,460515497,4751533962,442808391,3584129396,447878549,4782111332,142150143,
Chained Map,10000000,2.000000,1.192093,9417,1555,10847,459,442473,1,63,1674344,77739724,34255812,653124056,219815,5857944330,91688323,26111246052,10785591,25730461392,95290916,32898738,88186011,459374655,4682053991,446329920,3607574862,450994254,4790663566,141002183,
Chained Map,10000000,2.000000,1.192093,9295,1552,10711,471,442475,1,181,1674400,78193862,33619169,653168535,203183,5990676001,87944064,25926788224,10400638,26262172805,95113264,33926438,89927320,463885144,4737716413,444684237,3548146010,446196640,4751525274,143046235,
Chained Map,10000000,2.000000,1.192093,9351,1542,10793,440,442476,1,68,1674508,78267339,36085848,658548352,66342,5712813203,87558007,25644063182,10296017,25658585077,95630582,29899458,90576761,458459896,4836530735,441195343,3662409219,448366465,4850883729,142083668,
Chained Map,10000000,2.000000,1.192093,9833,1519,11298,460,442477,1,38,1674400,74863348,37096877,668409238,628385,5856454323,90024018,27482179188,13217162,25916318435,92480622,33175162,88136700,457599644,4680232857,447875351,3554662778,470042716,4761205992,138750274,
Chained Map,10000000,2.000000,1.192093,9029,1514,10421,463,442474,1,53,1674388,78012142,35534545,659027082,239832,6006415367,92078206,25406415396,10343968,26054268267,96054499,30658568,88241686,455606640,4627119898,446786807,3534678321,436205027,4734325946,142151200,
Open Map,10000000,0.700000,0.596046,1805,1222,2579,463,394443,1,25,990908,16145178,27704599,234143069,1591984,1571187016,27737546,8002819521,12083938,7768118233,22880598,30463781,23586513,160960868,873919110,139792256,762151363,116592293,907293271,50133640,
Open Map,10000000,0.700000,0.596046,1783,1234,2551,479,394443,1,27,990840,16212892,29651781,234666130,1614334,1530844900,23169922,7967626184,13008068,7657524958,22909652,28535749,24605203,159262929,898053215,137948823,762570956,116190081,916185534,50240230,
Open Map,10000000,0.700000,0.596046,1865,1223,2600,508,394443,1,11,990840,16314076,28114213,235648144,1664698,1548830840,26577873,8282567567,12061598,7744167275,22665124,31033569,23897838,159844864,890681047,138634994,782157599,119087914,922092169,50746583,
Open Map,10000000,0.700000,0.596046,1900,1219,2642,492,394447,1,43,990980,16241460,31092845,235100638,1693859,1701162078,26923841,8288973054,11431302,8092716979,22968937,28079548,24884421,159800662,860684667,138059758,754073506,120108004,886522673,49966294,
Open Map,10000000,0.700000,0.596046,1780,1234,2544,484,394440,1,64,990872,16280060,29921072,235156124,1652105,1537669487,23286008,7972912716,12789036,7674125810,22826202,28298634,24685663,158765299,899049531,137363731,770849548,116040120,914444429,50354912,
Open Map,10000000,0.700000,0.596046,1762,1210,2556,432,394443,1,11,990920,16467333,30103616,235883953,1782592,1622924717,25091464,7934021853,11856499,8119781241,22874262,28978212,23046358,159237326,900292080,138372126,727125037,114518496,858518398,51061442,
Open Map,10000000,0.700000,0.596046,1794,1253,2595,467,394441,1,8,990792,16546460,28208442,233230962,1723634,1581744170,25960833,8050688201,11818250,8037947715,22518322,30829509,23457303,161310008,903210468,138743174,763790790,117353107,893781916,50940618,
Open Map,10000000,0.700000,0.596046,1768,1248,2629,408,394442,1,10,990788,16250209,30509523,234896062,1610911,1562063849,23229805,7970682660,12157088,7811447469,23027828,27287028,24734827,157881025,884216235,137228105,735195790,116357773,887154197,50295389,
Open Map,10000000,0.700000,0.596046,1771,1235,2559,463,394442,1,15,990844,16288851,31160671,235764084,1665123,1558032390,22968879,7943928234,12014985,7799194232,23172033,27005739,24780903,158781005,909660338,137467777,759797848,115820340,895653645,50323903,
Open Map,10000000,0.700000,0.596046,1798,1237,2627,423,394441,1,11,990840,16347884,28012849,233935713,1645457,1636174105,27969542,8016231274,11815634,7974847065,22684162,29841888,23972181,161081139,874237709,139765455,757681471,116882227,891163868,50445827,
STD Map,10000000,2.000000,-1.000000,2970,1954,4905,191,156393,1,29,628136,467686,9945431,42995897,241533,3749295506,40642174,15778827545,1509431,11769670867,2391426,8743438,41465096,556480295,2686959894,23902011,1134918703,199456937,2710120647,3765933,
STD Map,10000000,2.000000,-1.000000,2961,1944,4969,131,156392,1,31,628048,462815,9924122,41679201,215684,3732925888,41109529,15883884717,1509767,11661200193,2037908,8685497,40828154,555340966,2692301513,23308139,1169273553,200617262,2733137315,3927651,
STD Map,10000000,2.000000,-1.000000,2963,1943,4895,183,156393,1,27,628040,452837,9930372,43312294,232994,3753991877,41174952,15721763669,1497018,11566132544,2239753,8704726,40990573,555487582,2697629433,23586142,1161286799,198871185,2757940901,4042048,
STD Map,10000000,2.000000,-1.000000,2964,1950,4948,155,156393,1,16,628048,457610,9912395,42407967,307378,3744487306,40904232,15939772125,1523695,11620878678,1906890,8701745,40473113,557537423,2686103223,22682956,1162652458,201386229,2721192429,3951697,
STD Map,10000000,2.000000,-1.000000,2984,1945,4932,172,156394,1,45,628136,439783,9993362,42096591,230999,3792497297,40539269,15757893907,1495446,11818750832,2424224,8863804,41371095,553326350,2687518886,24268486,1147574428,199765070,2678678630,3757516,
STD Map,10000000,2.000000,-1.000000,2974,1950,4920,176,156397,1,35,628200,457419,9928610,42941361,216327,3774556483,41108505,15748839602,1498561,11823046577,2447016,8647575,41373138,555195979,2687854957,23989024,1132961134,199445001,2696941944,3765947,
STD Map,10000000,2.000000,-1.000000,2945,1948,4852,216,156392,1,15,628068,424931,9800075,42600461,219207,3695377208,41554214,15718503017,1507378,11516754582,2143908,8797132,40957268,556490488,2748697441,24307594,1192608893,198406564,2742229138,4133305,
STD Map,10000000,2.000000,-1.000000,2939,1946,4884,176,156391,1,22,628036,437487,9795026,41789994,228370,3651762484,40916227,15691176589,1522178,11583050163,2185297,8820216,40267021,555564201,2757010870,24658906,1190389366,198097532,2724996264,4194824,
STD Map,10000000,2.000000,-1.000000,2967,1938,4921,160,156394,1,29,628108,458818,9929119,43145619,206922,3759160177,40885324,15684759897,1503779,11603266721,2181914,8671585,41339889,556531463,2697451825,23666461,1160150584,198844290,2751405334,3968594,
STD Map,10000000,2.000000,-1.000000,2995,1981,4978,172,156392,1,27,628044,442916,9846065,42932346,212469,3742682270,40630288,15953342134,1524456,11565634098,2145586,8764568,40831233,576800108,2719326868,24023461,1167637413,201476054,2742811925,4224134,
STD Unordered Map,10000000,2.000000,-1.000000,424,55,439,135,124866,1,1,410468,96846,7265049,41415676,204991,1636157749,308387,2015112954,1117549,6678761901,143494,11728831,311330,30987755,1231494828,18469210,937662368,25282268,1123151044,558892,
STD Unordered Map,10000000,2.000000,-1.000000,404,43,380,164,124865,1,2,410376,68981,8390360,37352861,207745,1496545268,381025,1875260568,1542534,6071654073,298639,8155101,230774,36201351,1194464291,19873124,981754710,23846020,1183433906,293490,
STD Unordered Map,10000000,2.000000,-1.000000,419,57,444,132,124867,1,5,410516,90659,6983056,41407573,222164,1697866886,360805,1995871883,1224851,6785493564,206726,12082946,375570,31244931,1207282815,18793715,914271490,25087591,1115287577,388814,
STD Unordered Map,10000000,2.000000,-1.000000,436,43,424,152,124865,1,3,410400,124161,8255742,39959060,221215,1625993115,246662,1988241677,1024640,6564364490,153737,10410951,273582,30116537,1236148422,17651887,944394806,25385587,1149612097,647401,
STD Unordered Map,10000000,2.000000,-1.000000,430,43,390,179,124869,1,1,410496,107032,7655090,41749748,244326,1626738087,284220,1894670758,1017735,6268162924,398014,10872053,360766,28295612,1229999749,17893304,953407541,24818305,1210333822,255538,
STD Unordered Map,10000000,2.000000,-1.000000,430,43,419,151,124868,1,3,410444,112702,7806157,42062271,219223,1623384573,261411,1938313919,987533,6413966774,295700,10812578,306081,28705283,1236521957,17890064,941982155,25155380,1193661267,350749,
STD Unordered Map,10000000,2.000000,-1.000000,404,43,371,171,124862,1,0,410340,69808,8279560,37470009,222372,1476394690,423010,1885513397,1542354,6024430236,288466,8109584,256909,36235570,1195093216,19961593,980103285,23838309,1185372737,267082,
STD Unordered Map,10000000,2.000000,-1.000000,418,43,423,135,124865,1,1,410376,86117,6838790,42696608,197490,1722969767,342569,1931967800,1249310,6396988022,362980,12445269,335365,30752022,1153034262,19078495,951719234,24432582,1167728264,206245,
STD Unordered Map,10000000,2.000000,-1.000000,427,44,451,115,124864,1,16,410368,98209,7206546,44253113,218445,1704035145,346819,1960620747,1178468,6438315888,383753,11773983,381801,28440530,1203728362,17958124,946633785,24764709,1175339312,221645,
STD Unordered Map,10000000,2.000000,-1.000000,420,43,448,112,124867,1,2,410516,86403,6793202,42908665,204931,1713230150,345501,1934971659,1230716,6376572151,370414,12424263,331809,30664963,1165503854,19047791,953402977,24464933,1178739044,204946,
